,open,high,low,close,volume,oi
2015-04-21 21:01:05,5528.0,5528.0,5518.0,5522.0,57.0,169922.0
2015-04-21 21:01:06,5520.0,5520.0,5512.0,5514.0,79.0,169874.0
2015-04-21 21:03:00,5514.0,5516.0,5508.0,5516.0,93.0,169902.0
2015-04-21 21:04:09,5516.0,5534.0,5516.0,5532.0,100.0,169906.0
2015-04-21 21:05:00,5536.0,5536.0,5528.0,5532.0,91.0,169928.0
2015-04-21 21:06:00,5532.0,5532.0,5526.0,5532.0,31.0,169936.0
2015-04-21 21:07:00,5532.0,5532.0,5528.0,5528.0,100.0,170094.0
2015-04-21 21:08:00,5528.0,5530.0,5526.0,5528.0,124.0,170128.0
2015-04-21 21:09:00,5526.0,5528.0,5522.0,5524.0,56.0,170126.0
2015-04-21 21:10:00,5524.0,5528.0,5524.0,5526.0,31.0,170108.0
2015-04-21 21:11:00,5526.0,5530.0,5526.0,5528.0,52.0,170092.0
2015-04-21 21:12:00,5526.0,5530.0,5526.0,5526.0,36.0,170100.0
2015-04-21 21:13:00,5526.0,5526.0,5518.0,5520.0,40.0,170096.0
2015-04-21 21:14:00,5520.0,5524.0,5520.0,5520.0,46.0,170138.0
2015-04-21 21:15:00,5520.0,5522.0,5520.0,5520.0,17.0,170164.0
2015-04-21 21:16:00,5520.0,5520.0,5518.0,5520.0,17.0,170166.0
2015-04-21 21:17:00,5520.0,5524.0,5516.0,5522.0,13.0,170162.0
2015-04-21 21:25:00,5514.0,5514.0,5508.0,5508.0,12.0,170274.0
2015-04-21 21:26:00,5508.0,5514.0,5508.0,5514.0,66.0,170276.0
